THREONINE-DEG2-PWY,GJA5-553
PWY-5918,GJA5-1699
PWY-5918,GJA5-1697
PWY-5918,GJA5-1936
PWY-5918,GJA5-1696
PWY-5918,GJA5-1701
PWY-5918,GJA5-530
PWY-5918,GJA5-1876
PWY-5918,GJA5-1874
PWY-5918,GJA5-1875
PWY-5918,GJA5-1617
PWY-5918,GJA5-20
PWY-5918,GJA5-2231
PWY-5918,GJA5-1866
PWY-3722,GJA5-2660
PWY-5676,GJA5-338
PWY-5676,GJA5-218
PWY-5676,GJA5-1740
PWY-5676,GJA5-591
PWY-4621,GJA5-677
PWY-5852,GJA5-983
PWY-621,GJA5-2099
PWY-621,GJA5-896
PWY-621,GJA5-1582
PWY-621,GJA5-2098
ANARESP1-PWY,GJA5-1727
ANARESP1-PWY,GJA5-1324
ANARESP1-PWY,GJA5-1894
ANARESP1-PWY,GJA5-212
ANARESP1-PWY,GJA5-807
ANARESP1-PWY,GJA5-799
PWY0-1309,GJA5-257
PWY-6587,GJA5-2185
PWY-6587,GJA5-1993
PWY-6587,GJA5-164
PWY-6587,GJA5-145
PWY-6587,GJA5-608
PWY-6587,GJA5-1233
BETSYN-PWY,GJA5-2659
BETSYN-PWY,GJA5-2660
PWY0-1568,GJA5-432
PWY0-1568,GJA5-1026
PWY-6164,GJA5-1440
PWY-6164,GJA5-1767
PWY-5481,GJA5-2649
PWY-5481,GJA5-229
PYRIDNUCSYN-PWY,GJA5-1985
DENITRIFICATION-PWY,GJA5-254
PWY0-1567,GJA5-432
PWY0-1567,GJA5-1026
PWY-5686,GJA5-1146
PWY-5686,GJA5-1147
PWY-5686,GJA5-1144
PWY-5686,GJA5-1145
PWY-5686,GJA5-1149
PWY-5686,GJA5-1148
PWY-5686,GJA5-2638
CHOLINE-BETAINE-ANA-PWY,GJA5-2660
CHOLINE-BETAINE-ANA-PWY,GJA5-2659
SERSYN-PWY,GJA5-1752
PWY-6537,GJA5-2651
PEPTIDOGLYCANSYN-PWY,GJA5-1393
PEPTIDOGLYCANSYN-PWY,GJA5-1125
PEPTIDOGLYCANSYN-PWY,GJA5-2187
PEPTIDOGLYCANSYN-PWY,GJA5-2163
PEPTIDOGLYCANSYN-PWY,GJA5-767
PEPTIDOGLYCANSYN-PWY,GJA5-2145
PEPTIDOGLYCANSYN-PWY,GJA5-1770
PEPTIDOGLYCANSYN-PWY,GJA5-1126
PEPTIDOGLYCANSYN-PWY,GJA5-1091
PEPTIDOGLYCANSYN-PWY,GJA5-956
PEPTIDOGLYCANSYN-PWY,GJA5-2146
PWY-7181,GJA5-1602
PWY-7181,GJA5-2199
HISDEG-PWY,GJA5-8
HISDEG-PWY,GJA5-2395
HISDEG-PWY,GJA5-2394
HISDEG-PWY,GJA5-2398
ARG-GLU-PWY,GJA5-114
ARG-GLU-PWY,GJA5-2226
GLYCEROLMETAB-PWY,GJA5-651
GLYCEROLMETAB-PWY,GJA5-650
PWY-6535,GJA5-2651
PWY0-1561,GJA5-1245
PWY0-1561,GJA5-1026
PWY-7180,GJA5-136
PWY-7180,GJA5-2200
PWY-7180,GJA5-135
PWY-7180,GJA5-2185
PWY-7180,GJA5-1993
PWY-7180,GJA5-164
PWY0-1295,GJA5-1602
PWY0-1295,GJA5-2199
ILEUDEG-PWY,GJA5-557
ILEUDEG-PWY,GJA5-338
PWY-6536,GJA5-2651
PWY-6147,GJA5-503
PWY-6147,GJA5-502
PWY-6147,GJA5-568
FERMENTATION-PWY,GJA5-591
FERMENTATION-PWY,GJA5-1740
FERMENTATION-PWY,GJA5-212
FERMENTATION-PWY,GJA5-2185
FERMENTATION-PWY,GJA5-1993
FERMENTATION-PWY,GJA5-164
FERMENTATION-PWY,GJA5-145
FERMENTATION-PWY,GJA5-608
FERMENTATION-PWY,GJA5-1727
FERMENTATION-PWY,GJA5-2610
FERMENTATION-PWY,GJA5-2577
FERMENTATION-PWY,GJA5-1894
FERMENTATION-PWY,GJA5-1324
FERMENTATION-PWY,GJA5-799
PWY-2301,GJA5-2376
PWY-2301,GJA5-1047
PWY-5143,GJA5-221
PWY-7193,GJA5-1602
PWY-7193,GJA5-1642
PWY-2201,GJA5-1762
PWY-2201,GJA5-2176
PWY-2201,GJA5-1003
PWY-2201,GJA5-1585
ANAEROFRUCAT-PWY,GJA5-2649
ANAEROFRUCAT-PWY,GJA5-229
ANAEROFRUCAT-PWY,GJA5-1582
ANAEROFRUCAT-PWY,GJA5-896
ANAEROFRUCAT-PWY,GJA5-1728
ANAEROFRUCAT-PWY,GJA5-727
ANAEROFRUCAT-PWY,GJA5-2653
ANAEROFRUCAT-PWY,GJA5-2188
ANAEROFRUCAT-PWY,GJA5-119
ANAEROFRUCAT-PWY,GJA5-805
ANAEROFRUCAT-PWY,GJA5-1717
ANAEROFRUCAT-PWY,GJA5-803
ANAEROFRUCAT-PWY,GJA5-804
ANAEROFRUCAT-PWY,GJA5-807
ANAEROFRUCAT-PWY,GJA5-1727
ANAEROFRUCAT-PWY,GJA5-380
ANAEROFRUCAT-PWY,GJA5-806
ANAEROFRUCAT-PWY,GJA5-830
ANAEROFRUCAT-PWY,GJA5-2482
PWY-5600,GJA5-1233
PWY-5600,GJA5-1740
PWY-5600,GJA5-591
PWY-5382,GJA5-1751
PWY-5964,GJA5-2336
PWY0-1329,GJA5-1026
PWY0-1329,GJA5-1090
PWY0-1329,GJA5-1089
PWY-6758,GJA5-1751
PWY-1622,GJA5-380
PWY-1622,GJA5-806
PWY-1622,GJA5-830
PWY-1622,GJA5-2482
PWY-1622,GJA5-807
PWY-1622,GJA5-2176
PWY-1622,GJA5-2499
PWY-1622,GJA5-771
PWY-1622,GJA5-799
PWY-5188,GJA5-1698
PWY-5188,GJA5-1699
PWY-5188,GJA5-1697
PWY-5188,GJA5-1936
PWY-5188,GJA5-1696
PWY-5188,GJA5-1701
PWY-5188,GJA5-530
PWY-5188,GJA5-20
PWY-5188,GJA5-2231
PWY-5188,GJA5-1866
GLUDEG-I-PWY,GJA5-2651
PWY0-1312,GJA5-1740
PWY0-1312,GJA5-591
PWY0-1335,GJA5-883
PWY0-1335,GJA5-432
PWY0-1335,GJA5-1026
RIBOSYN2-PWY,GJA5-1804
RIBOSYN2-PWY,GJA5-1802
RIBOSYN2-PWY,GJA5-1805
RIBOSYN2-PWY,GJA5-1803
RIBOSYN2-PWY,GJA5-568
PWY-5667,GJA5-1205
PWY-5667,GJA5-1173
PWY-5667,GJA5-1447
PWY0-1324,GJA5-304
PWY0-1324,GJA5-301
PWY-6470,GJA5-2187
PWY-6470,GJA5-2163
PWY-6470,GJA5-767
PWY-6470,GJA5-1770
PWY-6470,GJA5-1126
PWY-6470,GJA5-1091
PWY-6470,GJA5-2146
PWY-6470,GJA5-1125
PWY-6470,GJA5-1393
PWY-6823,GJA5-2335
PWY-6823,GJA5-2334
PWY-6823,GJA5-2340
PWY-6823,GJA5-1654
GLYCOCAT-PWY,GJA5-1543
GLYCOCAT-PWY,GJA5-1582
PWY0-1334,GJA5-883
PWY0-1334,GJA5-432
PWY0-1334,GJA5-1026
PWY0-1353,GJA5-1090
PWY0-1353,GJA5-1089
PWY0-1353,GJA5-1026
PWY0-1021,GJA5-1654
PWY0-1297,GJA5-133
PWY0-1297,GJA5-2201
PWY0-1297,GJA5-136
PWY0-1297,GJA5-2200
PWY0-1297,GJA5-135
PWY0-1297,GJA5-2185
PWY0-1297,GJA5-1993
PWY0-1297,GJA5-164
PWY-6748,GJA5-254
PWY-5988,GJA5-1951
PWY-5988,GJA5-1775
PWY-5988,GJA5-876
PWY-7250,GJA5-1654
PWY0-1313,GJA5-1763
PWY-6892,GJA5-1654
DENOVOPURINE2-PWY,GJA5-1010
DENOVOPURINE2-PWY,GJA5-1014
DENOVOPURINE2-PWY,GJA5-1009
DENOVOPURINE2-PWY,GJA5-1008
DENOVOPURINE2-PWY,GJA5-1011
DENOVOPURINE2-PWY,GJA5-1006
DENOVOPURINE2-PWY,GJA5-1013
DENOVOPURINE2-PWY,GJA5-397
DENOVOPURINE2-PWY,GJA5-223
DENOVOPURINE2-PWY,GJA5-522
DENOVOPURINE2-PWY,GJA5-398
DENOVOPURINE2-PWY,GJA5-1153
DENOVOPURINE2-PWY,GJA5-19
DENOVOPURINE2-PWY,GJA5-1980
DENOVOPURINE2-PWY,GJA5-2294
DENOVOPURINE2-PWY,GJA5-2172
DENOVOPURINE2-PWY,GJA5-2171
DENOVOPURINE2-PWY,GJA5-2170
DENOVOPURINE2-PWY,GJA5-2169
DENOVOPURINE2-PWY,GJA5-2168
DENOVOPURINE2-PWY,GJA5-2167
DENOVOPURINE2-PWY,GJA5-2166
DENOVOPURINE2-PWY,GJA5-2165
DENOVOPURINE2-PWY,GJA5-2173
DENOVOPURINE2-PWY,GJA5-761
DENOVOPURINE2-PWY,GJA5-760
DENOVOPURINE2-PWY,GJA5-1442
DENOVOPURINE2-PWY,GJA5-2664
PWY0-166,GJA5-2664
PWY0-166,GJA5-2049
PWY0-166,GJA5-469
PWY0-166,GJA5-1442
PWY0-166,GJA5-761
PWY0-166,GJA5-760
PWY0-166,GJA5-1092
PWY0-166,GJA5-1403
PWY-6952,GJA5-893
PWY-6952,GJA5-42
PWY-6952,GJA5-1245
PWY-6019,GJA5-1529
DETOX1-PWY-1,GJA5-1588
DETOX1-PWY-1,GJA5-130
DETOX1-PWY-1,GJA5-1307
DETOX1-PWY-1,GJA5-2668
DETOX1-PWY-1,GJA5-1249
UDPNAGSYN-PWY,GJA5-486
UDPNAGSYN-PWY,GJA5-2214
UDPNAGSYN-PWY,GJA5-2223
UDPNAGSYN-PWY,GJA5-896
PWY-6125,GJA5-397
PWY-6125,GJA5-223
PWY-6125,GJA5-522
PWY-6125,GJA5-398
PWY-6125,GJA5-1153
PWY-6125,GJA5-2664
PWY-6125,GJA5-761
PWY-6125,GJA5-760
PWY-6125,GJA5-1442
GLUTSYN-PWY,GJA5-452
GLUTSYN-PWY,GJA5-453
PWY-5485,GJA5-212
PWY-5485,GJA5-1740
PWY-5485,GJA5-591
PWY-7200,GJA5-469
PWY-7200,GJA5-1450
PWY-7200,GJA5-1442
PWY-7200,GJA5-1602
PWY-7200,GJA5-2182
PWY-7200,GJA5-1403
PWY-5493,GJA5-212
PWY-5493,GJA5-1233
PWY-6163,GJA5-1441
PWY-6163,GJA5-1439
PWY-6163,GJA5-1573
PWY-6163,GJA5-1629
PWY-6163,GJA5-834
PWY-6151,GJA5-2197
PWY-6151,GJA5-1823
PWY-6151,GJA5-340
PWY-5155,GJA5-2644
PWY-7228,GJA5-397
PWY-7228,GJA5-223
PWY-7228,GJA5-522
PWY-7228,GJA5-398
PWY-7228,GJA5-1153
PWY-7228,GJA5-761
PWY-7228,GJA5-760
PWY-7228,GJA5-1442
GLUTAMINEFUM-PWY,GJA5-452
GLUTAMINEFUM-PWY,GJA5-453
PWY1-2,GJA5-1738
PWY1-2,GJA5-1414
PWY-7208,GJA5-1450
PWY-7208,GJA5-1202
PWY-7208,GJA5-1442
PWY-7208,GJA5-2190
PWY-7208,GJA5-2175
PWY-7208,GJA5-1142
PWY-5074,GJA5-2596
GLUTAMATE-DEG1-PWY,GJA5-892
PWY-6126,GJA5-19
PWY-6126,GJA5-1980
PWY-6126,GJA5-2294
PWY-6126,GJA5-2172
PWY-6126,GJA5-2171
PWY-6126,GJA5-2170
PWY-6126,GJA5-2169
PWY-6126,GJA5-2168
PWY-6126,GJA5-2167
PWY-6126,GJA5-2166
PWY-6126,GJA5-2165
PWY-6126,GJA5-2173
PWY-6126,GJA5-761
PWY-6126,GJA5-760
PWY-6126,GJA5-1442
PWY-6126,GJA5-2664
ALACAT2-PWY,GJA5-2610
ALACAT2-PWY,GJA5-2577
ALACAT2-PWY,GJA5-892
PWY-6018,GJA5-1951
PWY-6018,GJA5-1775
PWY-6018,GJA5-876
PWY-6466,GJA5-521
PWY-3781,GJA5-883
PWY-3781,GJA5-432
PWY-3781,GJA5-1090
PWY-3781,GJA5-1089
FOLSYN-PWY,GJA5-501
FOLSYN-PWY,GJA5-1402
FOLSYN-PWY,GJA5-503
FOLSYN-PWY,GJA5-502
FOLSYN-PWY,GJA5-568
FOLSYN-PWY,GJA5-743
FOLSYN-PWY,GJA5-742
FOLSYN-PWY,GJA5-522
FOLSYN-PWY,GJA5-223
FOLSYN-PWY,GJA5-1012
PWY-7229,GJA5-19
PWY-7229,GJA5-1980
PWY-7229,GJA5-2294
PWY-7229,GJA5-2172
PWY-7229,GJA5-2171
PWY-7229,GJA5-2170
PWY-7229,GJA5-2169
PWY-7229,GJA5-2168
PWY-7229,GJA5-2167
PWY-7229,GJA5-2166
PWY-7229,GJA5-2165
PWY-7229,GJA5-2173
PWY-7229,GJA5-761
PWY-7229,GJA5-760
PWY-7229,GJA5-1442
PWY-5704,GJA5-2354
PWY-5704,GJA5-2353
PWY-5704,GJA5-2352
GLUCONSUPER-PWY,GJA5-2557
CYSTSYN-PWY,GJA5-531
CYSTSYN-PWY,GJA5-500
PWY-6012-1,GJA5-2135
PWY-6012-1,GJA5-176
PWY-5022,GJA5-2651
PWY-5022,GJA5-892
PWY-6612,GJA5-501
PWY-6612,GJA5-1402
PWY-6612,GJA5-503
PWY-6612,GJA5-502
PWY-6612,GJA5-568
PWY-6612,GJA5-743
PWY-6612,GJA5-742
PWY-6612,GJA5-522
PWY-6612,GJA5-223
GLUCONEO-PWY,GJA5-896
GLUCONEO-PWY,GJA5-2653
GLUCONEO-PWY,GJA5-2188
GLUCONEO-PWY,GJA5-119
GLUCONEO-PWY,GJA5-1717
GLUCONEO-PWY,GJA5-803
GLUCONEO-PWY,GJA5-804
GLUCONEO-PWY,GJA5-2482
GLUCONEO-PWY,GJA5-830
GLUCONEO-PWY,GJA5-806
GLUCONEO-PWY,GJA5-380
GLUCONEO-PWY,GJA5-807
GLUCONEO-PWY,GJA5-1825
GLUCONEO-PWY,GJA5-805
GLUCONEO-PWY,GJA5-1731
GLUCONEO-PWY,GJA5-799
ASPARAGINE-DEG1-PWY,GJA5-1451
PWY0-1264,GJA5-1730
PWY0-1264,GJA5-1729
PWY0-1264,GJA5-1562
PWY0-1264,GJA5-1637
SAM-PWY,GJA5-1823
ARGSYNBSUB-PWY,GJA5-895
ARGSYNBSUB-PWY,GJA5-894
ARGSYNBSUB-PWY,GJA5-2683
ARGSYNBSUB-PWY,GJA5-1110
ARGSYNBSUB-PWY,GJA5-180
ARGSYNBSUB-PWY,GJA5-1146
ARGSYNBSUB-PWY,GJA5-1147
ARGSYNBSUB-PWY,GJA5-179
GLYCINE-SYN2-PWY,GJA5-1571
GLYCINE-SYN2-PWY,GJA5-1570
GLYCINE-SYN2-PWY,GJA5-1572
GLYCINE-SYN2-PWY,GJA5-1036
GLYCINE-SYN2-PWY,GJA5-1554
PWY0-1296,GJA5-133
PWY0-1296,GJA5-2201
PWY0-1296,GJA5-136
GLYCLEAV-PWY,GJA5-1571
GLYCLEAV-PWY,GJA5-1570
GLYCLEAV-PWY,GJA5-1572
GLYCLEAV-PWY,GJA5-1036
GLYCLEAV-PWY,GJA5-1554
PWY-6386,GJA5-2187
PWY-6386,GJA5-2163
PWY-6386,GJA5-767
PWY-6386,GJA5-1770
PWY-6386,GJA5-1126
PWY-6386,GJA5-1091
PWY-6386,GJA5-2146
PWY-7199,GJA5-1602
PWY-7199,GJA5-2182
PWY-7199,GJA5-1403
TRNA-CHARGING-PWY,GJA5-610
TRNA-CHARGING-PWY,GJA5-532
TRNA-CHARGING-PWY,GJA5-530
TRNA-CHARGING-PWY,GJA5-1137
TRNA-CHARGING-PWY,GJA5-1795
TRNA-CHARGING-PWY,GJA5-1693
