THREONINE-DEG2-PWY,GJA5-553
PWY-6984,GJA5-1568
PWY-6984,GJA5-967
PWY-6984,GJA5-592
PWY-6984,GJA5-313
LACTOSECAT-PWY,GJA5-2262
LACTOSECAT-PWY,GJA5-2258
LACTOSECAT-PWY,GJA5-2264
LACTOSECAT-PWY,GJA5-2263
LACTOSECAT-PWY,GJA5-2261
PWY-5901,GJA5-2694
PWY-5901,GJA5-1991
PWY-5901,GJA5-183
PWY-7343,GJA5-2553
PWY-7343,GJA5-2240
MENAQUINONESYN-PWY,GJA5-1444
PWY0-162,GJA5-1146
PWY0-162,GJA5-1147
PWY0-162,GJA5-1144
PWY0-162,GJA5-1145
PWY0-162,GJA5-1149
PWY0-162,GJA5-1148
PWY0-162,GJA5-2638
PWY0-162,GJA5-1450
PWY0-162,GJA5-1202
PWY0-162,GJA5-1442
PWY0-162,GJA5-2190
MANNIDEG-PWY,GJA5-2220
PWY-7184,GJA5-2049
PWY-7184,GJA5-1403
PWY-7184,GJA5-469
PWY-7184,GJA5-1442
PWY-7184,GJA5-761
PWY-7184,GJA5-760
PWY-7184,GJA5-1092
PWY-5807,GJA5-1443
PWY-7179,GJA5-133
PWY-7179,GJA5-2201
THISYN-PWY,GJA5-2155
THISYN-PWY,GJA5-582
THISYN-PWY,GJA5-2153
THISYN-PWY,GJA5-1654
PWY-7176,GJA5-1450
PWY-7176,GJA5-1202
PWY-7176,GJA5-1442
PWY-7176,GJA5-2190
PWY-6614,GJA5-501
PWY-6614,GJA5-1402
PWY0-1479,GJA5-2760
PWY0-1314,GJA5-727
FAO-PWY,GJA5-221
FAO-PWY,GJA5-220
PPGPPMET-PWY,GJA5-1665
PPGPPMET-PWY,GJA5-942
PPGPPMET-PWY,GJA5-1442
PWY-5939,GJA5-2276
PWY-5939,GJA5-2112
PWY-5939,GJA5-2648
PWY-7054,GJA5-522
PWY-7054,GJA5-223
COA-PWY,GJA5-1064
COA-PWY,GJA5-1718
PROUT-PWY,GJA5-2605
PROUT-PWY,GJA5-1801
PWY-901,GJA5-2624
PWY-901,GJA5-2576
PWY-901,GJA5-1545
PWY-901,GJA5-1139
ARG-PRO-PWY,GJA5-1539
ARG-PRO-PWY,GJA5-181
ARG-PRO-PWY,GJA5-891
ARG-PRO-PWY,GJA5-2226
BRANCHED-CHAIN-AA-SYN-PWY,GJA5-2116
BRANCHED-CHAIN-AA-SYN-PWY,GJA5-2115
BRANCHED-CHAIN-AA-SYN-PWY,GJA5-2118
BRANCHED-CHAIN-AA-SYN-PWY,GJA5-2117
BRANCHED-CHAIN-AA-SYN-PWY,GJA5-2111
BRANCHED-CHAIN-AA-SYN-PWY,GJA5-557
BRANCHED-CHAIN-AA-SYN-PWY,GJA5-2114
BRANCHED-CHAIN-AA-SYN-PWY,GJA5-2276
BRANCHED-CHAIN-AA-SYN-PWY,GJA5-2112
BRANCHED-CHAIN-AA-SYN-PWY,GJA5-2119
BRANCHED-CHAIN-AA-SYN-PWY,GJA5-1413
BRANCHED-CHAIN-AA-SYN-PWY,GJA5-2582
BRANCHED-CHAIN-AA-SYN-PWY,GJA5-2581
RIBOKIN-PWY,GJA5-259
RIBOKIN-PWY,GJA5-260
PWY0-862,GJA5-1175
PWY-6630,GJA5-1440
PWY-6630,GJA5-1441
PWY-6630,GJA5-1439
PWY-6630,GJA5-1573
PWY-6630,GJA5-1629
PWY-6630,GJA5-834
PWY-6630,GJA5-1340
PWY-6630,GJA5-1767
GLUAMCAT-PWY,GJA5-571
GLUAMCAT-PWY,GJA5-729
PWY-2161,GJA5-1692
PWY-2161,GJA5-1762
PWY-2161,GJA5-2176
PWY-6344,GJA5-181
PWY-6344,GJA5-891
PWY-6344,GJA5-1539
PWY-6700,GJA5-757
PWY-6700,GJA5-1670
PWY-6700,GJA5-1671
PWY-6629,GJA5-1440
PWY-6629,GJA5-1767
PWY-6629,GJA5-1441
PWY-6629,GJA5-1439
PWY-6629,GJA5-1573
PWY-6629,GJA5-1629
PWY-6629,GJA5-834
PWY-6629,GJA5-1347
PWY-6629,GJA5-1348
PWY-6629,GJA5-1345
PWY-6629,GJA5-1344
PWY-6629,GJA5-1350
PWY-6629,GJA5-1349
PWY-6629,GJA5-1935
PWY-5461,GJA5-590
1CMET2-PWY,GJA5-1402
1CMET2-PWY,GJA5-1585
1CMET2-PWY,GJA5-1003
1CMET2-PWY,GJA5-2176
1CMET2-PWY,GJA5-1403
PWY-7222,GJA5-2664
PWY-7222,GJA5-761
PWY-7222,GJA5-760
PWY-7222,GJA5-1442
ARGASEDEG-PWY,GJA5-2226
ARGASEDEG-PWY,GJA5-181
ARGASEDEG-PWY,GJA5-891
ARGASEDEG-PWY,GJA5-2605
PWY-7226,GJA5-761
PWY-7226,GJA5-760
PWY-7226,GJA5-1442
PANTOSYN-PWY,GJA5-2645
PANTOSYN-PWY,GJA5-2647
PANTOSYN-PWY,GJA5-2510
PANTOSYN-PWY,GJA5-2646
PANTOSYN-PWY,GJA5-2193
PANTOSYN-PWY,GJA5-1064
PANTOSYN-PWY,GJA5-1718
PANTOSYN-PWY,GJA5-2644
PWY-5695,GJA5-397
PWY-5695,GJA5-142
PWY-5695,GJA5-27
PWY-5695,GJA5-858
PWY-5695,GJA5-962
PWY-5695,GJA5-2201
PWY-5695,GJA5-133
PWY-6518,GJA5-266
SER-GLYSYN-PWY,GJA5-1752
SER-GLYSYN-PWY,GJA5-2176
PWY-7224,GJA5-1442
PWY-6502,GJA5-447
PWY0-1261,GJA5-187
PWY0-1261,GJA5-2018
PWY0-1261,GJA5-993
PWY0-1261,GJA5-2693
PWY0-1261,GJA5-2371
PWY0-1261,GJA5-729
PWY0-1261,GJA5-2223
PWY0-1261,GJA5-486
PWY66-21,GJA5-145
PWY66-21,GJA5-608
PWY66-21,GJA5-164
PWY66-21,GJA5-1993
PWY66-21,GJA5-2185
PWY66-21,GJA5-1763
PWY-5123,GJA5-1557
PWY-5123,GJA5-2411
PANTO-PWY,GJA5-2645
PANTO-PWY,GJA5-2647
PANTO-PWY,GJA5-2510
PANTO-PWY,GJA5-2646
PANTO-PWY,GJA5-2193
PWY-7220,GJA5-761
PWY-7220,GJA5-760
PWY-7220,GJA5-1442
PWY-7220,GJA5-2664
GLUTAMINDEG-PWY,GJA5-2190
GLUTAMINDEG-PWY,GJA5-1147
GLUTAMINDEG-PWY,GJA5-1146
GLUTAMINDEG-PWY,GJA5-453
GLUTAMINDEG-PWY,GJA5-452
GLUTAMINDEG-PWY,GJA5-398
GLUTAMINDEG-PWY,GJA5-522
GLUTAMINDEG-PWY,GJA5-223
GLUTAMINDEG-PWY,GJA5-521
PYRUVDEHYD-PWY,GJA5-1035
PYRUVDEHYD-PWY,GJA5-1036
PYRUVDEHYD-PWY,GJA5-1554
PYRUVDEHYD-PWY,GJA5-1033
PYRUVDEHYD-PWY,GJA5-1034
PWY-7219,GJA5-19
PWY-7219,GJA5-1980
PWY-7219,GJA5-2294
PWY-7219,GJA5-2172
PWY-7219,GJA5-2171
PWY-7219,GJA5-2170
PWY-7219,GJA5-2169
PWY-7219,GJA5-2168
PWY-7219,GJA5-2167
PWY-7219,GJA5-2166
PWY-7219,GJA5-2165
PWY-7219,GJA5-2173
AMMASSIM-PWY,GJA5-1253
AMMASSIM-PWY,GJA5-1252
AMMASSIM-PWY,GJA5-452
AMMASSIM-PWY,GJA5-453
LIPAS-PWY,GJA5-2718
LIPAS-PWY,GJA5-306
PWY-7310,GJA5-2589
PWY-7310,GJA5-2445
PWY-7310,GJA5-2260
PWY-7310,GJA5-2259
PWY-7310,GJA5-2219
PWY-7310,GJA5-2217
PWY-7310,GJA5-1398
PWY-7310,GJA5-233
PWY-7310,GJA5-185
SERDEG-PWY,GJA5-2582
SERDEG-PWY,GJA5-2581
PWY66-162,GJA5-164
PWY66-162,GJA5-1993
PWY66-162,GJA5-2185
PWY66-162,GJA5-1307
PWY66-162,GJA5-1763
PWY-6282,GJA5-1175
PWY-6282,GJA5-919
PWY-6282,GJA5-918
PWY-7227,GJA5-761
PWY-7227,GJA5-760
PWY-7227,GJA5-1442
PWY-922,GJA5-338
PWY-922,GJA5-218
PWY-922,GJA5-2597
PWY-922,GJA5-593
PWY-922,GJA5-595
PWY-922,GJA5-594
PWY-922,GJA5-2411
PWY-7185,GJA5-2190
PWY-7185,GJA5-1092
PWY-7185,GJA5-142
PWY-7185,GJA5-27
PWY-7185,GJA5-858
PWY-7185,GJA5-962
TRPSYN-PWY,GJA5-1347
TRPSYN-PWY,GJA5-1348
TRPSYN-PWY,GJA5-1345
TRPSYN-PWY,GJA5-1344
TRPSYN-PWY,GJA5-1350
TRPSYN-PWY,GJA5-1349
TRPSYN-PWY,GJA5-1935
ILEUSYN-PWY,GJA5-2111
ILEUSYN-PWY,GJA5-557
ILEUSYN-PWY,GJA5-2114
ILEUSYN-PWY,GJA5-2276
ILEUSYN-PWY,GJA5-2112
ILEUSYN-PWY,GJA5-2119
ILEUSYN-PWY,GJA5-1413
ILEUSYN-PWY,GJA5-2582
ILEUSYN-PWY,GJA5-2581
ARO-PWY,GJA5-1440
ARO-PWY,GJA5-1767
ARO-PWY,GJA5-1441
ARO-PWY,GJA5-1439
ARO-PWY,GJA5-1573
ARO-PWY,GJA5-1629
ARO-PWY,GJA5-834
GLYSYN-PWY,GJA5-2176
PWY-6613,GJA5-1012
HEME-BIOSYNTHESIS-II,GJA5-1876
HEME-BIOSYNTHESIS-II,GJA5-1874
HEME-BIOSYNTHESIS-II,GJA5-1875
HEME-BIOSYNTHESIS-II,GJA5-1617
LEUSYN-PWY,GJA5-2116
LEUSYN-PWY,GJA5-557
LEUSYN-PWY,GJA5-2115
LEUSYN-PWY,GJA5-2118
LEUSYN-PWY,GJA5-2117
HISTSYN-PWY,GJA5-2725
HISTSYN-PWY,GJA5-752
HISTSYN-PWY,GJA5-2723
HISTSYN-PWY,GJA5-2722
HISTSYN-PWY,GJA5-2720
HISTSYN-PWY,GJA5-2721
HISTSYN-PWY,GJA5-2719
HISTSYN-PWY,GJA5-2726
HISTSYN-PWY,GJA5-2727
PWY-7183,GJA5-2175
PWY-7183,GJA5-1142
PWY-7400,GJA5-895
PWY-7400,GJA5-894
PWY-7400,GJA5-2683
PWY-7400,GJA5-1110
PWY-7400,GJA5-1146
PWY-7400,GJA5-1147
PWY-7400,GJA5-180
PWY-6608,GJA5-142
PWY-6608,GJA5-27
PWY-6608,GJA5-858
PWY-6608,GJA5-962
PWY-6608,GJA5-133
PWY-6608,GJA5-2201
PWY0-1544,GJA5-1026
PWY0-1544,GJA5-1801
PWY-3801,GJA5-896
PWY-3801,GJA5-2098
PWY-3801,GJA5-2553
PWY-3801,GJA5-2240
PWY-6890,GJA5-2155
PWY-6890,GJA5-582
REDCITCYC,GJA5-1894
REDCITCYC,GJA5-1324
REDCITCYC,GJA5-1234
REDCITCYC,GJA5-2654
REDCITCYC,GJA5-2433
TYRSYN,GJA5-1340
TYRSYN,GJA5-1767
PWY0-1415,GJA5-1874
PWY0-1415,GJA5-1875
PWY0-1415,GJA5-1876
PWY0-1415,GJA5-1617
PWY-5005,GJA5-2489
PWY-5005,GJA5-2490
PWY-5005,GJA5-2493
PWY-5005,GJA5-2491
PWY-5005,GJA5-2492
PWY-5057,GJA5-557
PWY-5057,GJA5-608
PWY-5057,GJA5-145
VALSYN-PWY,GJA5-2111
VALSYN-PWY,GJA5-557
VALSYN-PWY,GJA5-2114
VALSYN-PWY,GJA5-2276
VALSYN-PWY,GJA5-2112
ALANINE-VALINESYN-PWY,GJA5-557
ALANINE-VALINESYN-PWY,GJA5-2134
ALANINE-VALINESYN-PWY,GJA5-1374
PWY0-1545,GJA5-1227
PWY0-1545,GJA5-2150
PWY0-1545,GJA5-1291
PWY-6893,GJA5-2153
ACETATEUTIL-PWY,GJA5-1763
ACETATEUTIL-PWY,GJA5-1740
ACETATEUTIL-PWY,GJA5-591
PWY-6944,GJA5-221
PWY-5668,GJA5-2150
PWY-5668,GJA5-1291
PWY-5668,GJA5-1227
PWY-6122,GJA5-1010
PWY-6122,GJA5-1014
PWY-6122,GJA5-1009
PWY-6122,GJA5-1008
PWY-6122,GJA5-1011
PWY-6894,GJA5-2153
MANNCAT-PWY,GJA5-2691
MANNCAT-PWY,GJA5-2206
PWY-5659,GJA5-896
PWY-5659,GJA5-2691
PWY-5659,GJA5-2206
PWY-5659,GJA5-2550
DETOX1-PWY,GJA5-1588
DETOX1-PWY,GJA5-130
DETOX1-PWY,GJA5-1307
HEMESYN2-PWY,GJA5-1875
HEMESYN2-PWY,GJA5-1876
HEMESYN2-PWY,GJA5-1617
PWY-5989,GJA5-919
PWY-5989,GJA5-918
PWY-5989,GJA5-1175
PWY-6121,GJA5-1010
PWY-6121,GJA5-1014
PWY-6121,GJA5-1012
PWY-6121,GJA5-1009
PWY-6121,GJA5-1008
PWY-6121,GJA5-1011
PWY-6897,GJA5-2154
PWY-6897,GJA5-2153
PWY-6897,GJA5-2155
PWY-6897,GJA5-582
PWY-7205,GJA5-1450
PWY-7205,GJA5-1442
PWY-7187,GJA5-2049
PWY-7187,GJA5-1403
PWY-7187,GJA5-469
PWY-7187,GJA5-1442
PWY-7187,GJA5-2664
HOMOSER-THRESYN-PWY,GJA5-1303
HOMOSER-THRESYN-PWY,GJA5-1302
GLCMANNANAUT-PWY,GJA5-571
GLCMANNANAUT-PWY,GJA5-729
GLCMANNANAUT-PWY,GJA5-304
GLCMANNANAUT-PWY,GJA5-301
ARABCAT-PWY,GJA5-555
PWY-7353,GJA5-2153
PWY-7353,GJA5-2154
HOMOSERSYN-PWY,GJA5-1368
HOMOSERSYN-PWY,GJA5-1300
HOMOSERSYN-PWY,GJA5-1369
HOMOSERSYN-PWY,GJA5-1301
PWY-6123,GJA5-1006
PWY-6123,GJA5-1980
PWY-6123,GJA5-1013
PWY-7197,GJA5-469
PWY-7197,GJA5-1450
PWY-7197,GJA5-1442
ORN-AMINOPENTANOATE-CAT-PWY,GJA5-114
